#group,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,table,_time,_field,_measurement,_value,Solution,Broker_Placement,Nutanix_AHV_Integration,Element,Central,Requires_Both,NC2_Validated,Provisioning_Methods,Persistent,Non_Persistent,Provisioning_Detail,Published_Resource_Types,Published_Apps,Published_Desktops,Protocol,Supported_Guest_OS,Windows_Desktop,Windows_Server,Linux_Desktop,Linux_Server,Session_Support,Single_Session,Multi_Session,Profile,Remote_Access,Additional_Notes,Solution_Brief
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Citrix Virtual Apps and Desktops,On-Premises,Prism Central or Prism Element,Yes,Yes,No,Yes,Persistent and Non-Persistent,Yes,Yes,Disk Based full clone (MCS) & Network Steamed via PVS,Applications and Desktops,Yes,Yes,ICA/HDX,Windows Desktop & Windows Server & Linux Desktop & Linux Server,Yes,Yes,Yes,Yes,Single and Multi Session,Yes,Yes,Citrix Profile Management,NetScaler Gateway,Provisioning Services and Machine Creation Services. NC2 support only for Prism Central Integration,https://www.nutanix.com/library/solution-briefs/simplify-accelerate-citrix-deployments-with-nutanix
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Citrix Desktops as a Service,Cloud,Prism Central or Prism Element,Yes,Yes,No,Yes,Persistent and Non-Persistent,Yes,Yes,Disk Based full clone (MCS) & Network Steamed via PVS,Applications and Desktops,Yes,Yes,ICA/HDX,Windows Desktop & Windows Server & Linux Desktop & Linux Server,Yes,Yes,Yes,Yes,Single and Multi Session,Yes,Yes,Citrix Profile Management,"NetScaler Gateway, Gateway Service",Provisioning Services and Machine Creation Services. NC2 support only for Prism Central Integration,
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Parallels Remote Application Server,On-Premises,Prism Element,Yes,No,No,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Applications and Desktops,Yes,Yes,RDP,Windows Desktop & Windows Server,Yes,Yes,No,No,Single and Multi Session,Yes,Yes,Nothing proprietary,Secure Gateway Role,,https://www.nutanix.com/content/dam/nutanix/partners/technology-alliances/solution-briefs/nutanix-and-parallels.pdf
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Accops HyWorks,On-Premises,Prism Central or Prism Element,Yes,Yes,No,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Applications and Desktops,Yes,Yes,RDP,Windows Desktop & Windows Server & Linux Desktop & Linux Server,Yes,Yes,Yes,Yes,Single and Multi Session,Yes,Yes,Nothing proprietary,HySecure,,https://www.nutanix.com/content/dam/nutanix/resources/solution-briefs/sb-accops.pdf
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Workspot,Cloud,Prism Element,Yes,No,No,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Applications and Desktops,Yes,Yes,RDP,Windows Desktop & Windows Server & Linux Desktop,Yes,Yes,Yes,No,Single and Multi Session,Yes,Yes,Nothing proprietary,Cloud Gateway,,https://www.nutanix.com/au/partners/technology-alliances/workspot
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Dizzion Frame,Cloud,Both PE and PC,Yes,Yes,Yes,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Applications and Desktops,Yes,Yes,FRP,Windows Desktop & Windows Server & Linux Desktop,Yes,Yes,Yes,No,Single Session,Yes,No,Personal Drives and Enterprise Profiles,Cloud Gateway,,https://www.nutanix.com/content/dam/nutanix/resources/solution-briefs/sb-frame-solution-brief.pdf
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,HP Anywhere / Teradici,Cloud,None,No,No,No,No,None,NA,NA,None,Desktops,No,Yes,PCoIP,Windows Desktop & Linux Desktop,Yes,No,Yes,No,Single Session,Yes,No,Nothing proprietary,Anyware Connector,Can integrate with LeoStream for Advanced features,https://www.nutanix.com/au/partners/technology-alliances/teradici
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Leostream,On-Premises,Both PE and PC,Yes,Yes,Yes,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Desktops,No,Yes,Multi,Windows Desktop & Windows Server & Linux Desktop,Yes,Yes,Yes,No,Single and Multi Session,Yes,Yes,Nothing proprietary,Leostream Gateway,Can use either a snapshot or OVA for provisioning on Nutanix. Has RemoteApp integration for published Apps,
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,UDS Enterprise,On-Premises,Prism Central or Prism Element,Yes,Yes,No,No,Persistent and Non-Persistent,Yes,Yes,Disk based full clone,Applications and Desktops,Yes,Yes,RDP,Windows Desktop & Windows Server & Linux Desktop & Linux Server,Yes,Yes,Yes,Yes,Single and Multi Session,Yes,Yes,Nothing proprietary,Tunneler Appliance,,https://www.nutanix.com/content/dam/nutanix/partners/technology-alliances/solution-briefs/uds-enterprise.pdf
,,0,2023-01-01T09:48:49.014Z,Offering,Offering,0,Inuvika,On-Premises,None,No,No,No,No,None,NA,NA,None,Applications and Desktops,Yes,Yes,RDP,Windows Desktop & Windows Server & Linux Desktop & Linux Server,Yes,Yes,Yes,Yes,Single and Multi Session,Yes,Yes,Nothing proprietary,Enterprise Secure Gateway,,https://www.nutanix.com/viewer?type=pdf&path=/content/dam/nutanix/resources/solution-briefs/sb-bca-inuvika.pdf
